Treat,DOY,Rep,Plant,Leaf,Leaf.unique,Tleaf,Vcmax,Jmax,Rday,Vcmax.25,Jmax.25,Rday.25,P270,P505
c.c,243,1,1,1,11,31.6,145.5037575,198.7762976,1.674140979,71.80316585,160.3481929,1.864694901,18.33406097,29.39419144
c.c,247,1,1,2,12,34.9,201.1846474,224.5214338,1.761228914,66.03863307,178.1148659,1.46108407,19.08788373,30.61018474
c.c,243,1,2,1,21,30.4,125.9836195,197.0166911,2.793574004,69.40858965,161.6864314,2.791373072,16.40250282,28.62769761
c.c,243,1,3,1,31,30.4,147.243362,243.0042991,3.028370477,82.9500541,198.1277225,3.096510645,19.40066883,33.90257334
c.c,249,1,4,1,41,28.4,115.0676466,164.7169634,0.695074433,80.6842699,143.0382889,0.737648452,19.93626524,27.1868878
c.c,247,3,1,1,11,27.3,93.9418582,158.9062223,1.366757617,76.24798695,141.9928383,1.456162029,16.93595632,26.04651077
c.c,249,3,2,1,21,28,116.5574971,165.4993843,-0.080367024,82.3190867,147.540759,-0.008522237,21.61912438,28.23386856
c.c,247,3,2,2,22,33.5,164.5895826,244.0728484,-0.078599997,68.06460848,197.8024647,0.562186768,19.40784522,35.30358787
c.c,247,3,3,1,31,27.8,133.6171528,177.2559362,0.317920026,95.65930236,156.8256971,0.247531746,23.35607348,29.58713703
c.c,249,3,4,1,41,37.2,226.4811439,307.9065865,0.884400629,61.31208203,275.7654079,0.721486657,18.00640282,36.99528017
c.c,247,4,1,1,11,32.6,146.8550103,203.9243214,1.107482285,63.42116092,159.0003745,0.684420688,17.5564601,30.12523855
c.c,249,4,2,1,21,35.9,194.6614051,283.3550126,0.11786198,60.19738956,234.7467472,0.002442354,18.28236191,36.05984319
c.c,247,4,3,1,31,30.8,151.2430363,228.8535892,2.084215999,74.50376642,186.5553637,1.571760382,20.26528674,33.0637353
c.c,251,4,4,1,41,40,246.1731967,365.4344571,1.847580234,50.06843996,402.2104387,1.946537065,13.72697639,31.21783066
c.c,247,5,1,1,11,33.8,184.7385419,245.7057286,1.818355317,69.05986935,193.6251029,1.266473073,19.26937554,33.44574542
c.c,249,5,2,1,21,35.9,194.6704175,283.3497964,0.117401538,60.08045675,234.9711348,0.026722051,18.25181432,36.01360273
c.c,249,5,3,1,31,27.5,117.0141601,200.421812,0.866813637,90.61855768,179.4459401,0.915750341,21.66929602,32.37129735
c.c,249,6,1,1,11,27.7,91.43145499,146.512455,0.852642397,70.6818506,131.2665344,1.1246395,16.39854968,24.53926121
c.c,247,6,2,1,21,26.5,91.02517945,157.5447347,1.11795703,76.58921846,146.3928978,1.006384828,17.77155928,26.39244285
c.c,249,6,3,1,31,36.7,212.3692301,302.3805291,0.138828231,59.95954676,259.2688302,-0.115755554,18.3580691,36.79485134
c.c,249,7,1,1,11,30.1,113.5897939,175.5608319,1.129035883,67.01629125,142.9673509,1.077936499,16.58754446,27.55800399
c.c,247,7,2,1,21,31.7,137.578246,195.6289844,-0.298915371,70.3889736,157.179304,0.04272842,19.07292612,30.91577437
c.c,251,7,3,1,31,39.5,241.5373474,391.3930731,2.00319819,53.02599466,407.7396627,2.358998878,14.16333383,31.96112025
c.c,254,11,1,1,11,38.1,212.3416323,232.4930559,1.688095939,51.77656954,215.5341213,1.857381113,14.52094705,29.48670372
c.c,251,11,2,1,21,39.4,281.7580662,268.232127,1.29916063,59.19057906,255.1829971,1.423960912,17.66613774,32.34351537
c.c,254,11,3,1,31,43.2,243.4195087,262.6442809,1.352687769,34.27421837,422.1681487,0.996796604,9.797251509,23.83319442
c.c,254,12,1,1,11,37,190.5198817,207.6044797,2.027386105,53.3058669,179.0149499,2.249676049,14.21246254,27.23310469
c.c,251,12,2,1,21,36,205.6134137,217.5425026,1.441600579,62.73050156,178.68874,1.79340247,17.72441216,29.48988258
c.c,254,12,3,1,31,43.2,250.3146303,274.2932624,1.459737429,36.82314776,416.1630155,1.427320868,10.00457828,24.43703025
c.c,254,13,1,1,11,41.2,234.4180667,259.3743591,2.627102459,43.34673916,345.5976926,2.653787259,10.55570594,25.97724615
c.c,254,13,2,1,21,41.7,254.6081082,276.5021573,1.230580059,43.76028783,328.8782506,1.669940928,12.3276388,28.49426334
c.c,254,14,1,1,11,41.9,234.4003993,222.9606453,2.22065441,39.23847407,281.5830087,2.280794137,10.09000797,24.78441839
c.c,254,14,2,1,21,40.8,240.6109068,266.0016456,1.313864632,45.56503411,303.1918787,1.386154659,12.74854123,28.96374304
c.c,254,15,1,1,11,41.7,216.8089401,210.2975176,1.681490586,35.42862815,284.1261452,1.262274836,9.869854495,23.62211421
c.c,254,15,2,1,21,41.3,238.7187048,254.8176492,0.332285143,42.27860969,319.0683672,0.304158295,12.91628621,28.47903832
c.c,243,2,2,1,21,36.9,234.8152151,277.9234362,2.114342315,63.81253648,241.0141836,1.769009559,18.11185026,34.16884878
c.c,243,2,3,1,31,35.9,242.3390704,292.0610787,2.139839415,75.41846338,241.2296914,2.329712359,20.72367624,36.04332556
c.c,249,2,4,1,41,31.6,163.5558614,201.1605316,1.125891088,79.15814379,160.9174747,1.07770837,21.43832888,30.27526688
c.c,247,8,2,1,21,33,138.8942222,225.2249722,-0.221350956,58.13142068,178.1552805,-0.275539303,17.16195922,31.99305688
c.c,254,8,3,1,31,40.7,301.1094731,402.3646557,1.246687718,56.86554517,464.2917752,1.29723454,16.5197794,36.93872513
c.c,254,9,2,1,21,41.3,238.0266372,256.35112,0.475944457,42.23055973,320.9062467,0.456820043,12.73566785,28.25738195
c.c,254,9,3,1,31,42.9,213.1892019,269.4801492,1.77504348,31.51270651,372.2578252,1.838155888,8.238455355,20.73627899
c.c,251,10,2,1,21,41.4,305.5653428,344.4196558,1.792053115,54.91292268,423.2648302,2.037751552,15.10755704,34.86841034
c.c,254,10,3,1,31,41.1,290.3456258,373.4170083,1.378317351,52.75717355,451.1930708,1.436944173,15.06066756,34.24446845
c.w,261,1,1,1,11,33.8,113.1368362,130.6883165,2.297076854,44.76904728,104.0857899,2.356072103,10.64928209,18.60184724
c.w,261,1,2,1,21,32.3,156.057799,132.4898993,2.613290057,71.99359039,105.120319,2.593129478,13.6796658,19.08313455
c.w,261,2,1,1,11,36.7,143.0910805,140.0869367,2.761869365,39.92545543,118.2287273,2.892546927,9.772172138,18.32289565
c.w,261,2,2,1,21,38.5,279.0247563,216.5916907,6.239538732,65.35365962,217.81494,5.888529102,13.69254222,23.08445182
c.w,261,2,3,1,31,33.9,148.8414477,153.9437011,4.51742733,56.62219704,121.1652314,4.20927492,12.25649061,19.60006403
c.w,261,3,1,1,11,37.8,186.8011216,160.0918338,3.99268978,43.91486712,142.2448547,3.423178848,10.74876794,19.21510098
c.w,261,3,2,1,21,36.3,107.2771995,154.8807197,1.853676787,32.17648386,131.0002891,2.014245504,7.845488899,17.4175791
c.w,261,3,3,1,31,38,258.5774041,240.8754117,2.499337429,66.91830241,221.1130707,2.977946885,17.50930643,29.63924818
c.w,262,4,1,1,11,37.2,150.2370301,158.5134179,2.368570875,40.53196307,139.3316478,2.409156072,10.12381603,20.87101921
c.w,262,4,2,1,21,36.7,151.506354,177.0028615,3.182621827,43.01818805,152.7430656,3.259730862,10.0146333,22.53841516
c.w,262,4,3,1,31,38.4,177.0440057,181.1488269,5.088551103,41.98719196,170.0049565,5.126514845,8.02276636,20.3125506
c.w,262,5,1,1,11,37.5,150.8859527,159.7731925,2.895190852,40.40528771,142.7162999,3.02622345,9.397107131,20.39763931
c.w,262,5,3,1,31,38.4,197.640759,201.1674556,5.456067975,48.78065825,190.5239024,5.813945766,9.292070168,22.28479101
c.w,262,6,1,1,11,38.5,154.0985262,169.7636318,2.586897041,36.43398346,166.1397935,2.484049687,8.728102277,20.71737506
c.w,262,6,2,1,21,40.6,206.6866415,194.5806291,3.349875444,38.06797997,223.364907,3.081646973,8.980183039,22.31417471
c.w,262,7,1,1,11,39.9,185.0737024,191.1924156,3.308945945,38.04905729,207.9139208,3.289091185,8.569934572,21.76828949
c.w,262,7,2,1,21,41.3,214.6214947,189.3480601,3.139761459,38.22098901,233.5568185,3.312954615,8.783558635,21.58944587
c.w,264,7,3,1,31,41.8,298.5957756,269.1667143,3.433264539,50.37314981,350.5087404,3.372935966,12.36131247,28.50472396
c.w,262,8,1,1,11,39.6,229.8116817,179.8737901,5.524739328,50.45076625,186.6751744,6.044874047,9.677608791,19.15494753
c.w,262,8,2,1,21,41.3,211.3558144,190.6002617,3.29989341,37.75656757,235.6081335,3.286676056,8.510587104,21.56933119
c.w,264,8,3,1,31,42.1,311.7547927,262.1481219,2.008189774,49.08718695,374.9381979,1.616621063,14.03267811,29.1765661
c.w,263,9,1,1,11,29.5,94.28192662,107.9749997,3.451183184,58.35455811,90.31207873,3.423876824,11.13513296,15.32805383
c.w,263,9,2,1,21,28.5,76.70857994,121.6061163,3.55139229,52.83210658,104.3751759,3.457047664,10.12379921,17.70174792
c.w,263,10,1,1,11,30.7,95.04596202,120.1959242,4.336341264,51.13435256,97.6451974,4.29747417,9.810053246,16.02731788
c.w,263,10,2,1,21,30.6,88.48287243,135.0614883,3.824042183,49.45496208,109.9748779,3.873858996,9.480667373,18.82109983
c.w,265,10,3,1,31,42.3,206.2794027,139.9629694,4.576022681,34.90650933,200.0075991,4.879115333,5.801779114,14.09520512
c.w,263,11,1,1,11,31.6,84.04959648,119.0897098,2.187923283,40.90833177,94.40958653,2.091336236,9.442768768,17.70994364
c.w,264,11,2,1,21,40.7,167.2337046,179.3343025,3.220967741,30.70713758,211.185972,2.972758484,6.658954461,18.02107224
c.w,270,11,3,1,31,41.9,221.947615,236.7083771,1.816799935,37.4495168,319.6118194,1.884529722,9.800240093,23.74443404
c.w,265,12,1,1,11,41.4,180.480988,167.8008859,2.191361048,30.97573236,220.3048306,2.118161913,7.759304199,19.43788094
c.w,264,12,2,1,21,42.3,153.2265555,150.9265873,1.472478352,22.74455118,202.8406266,1.132710984,6.215353643,15.5842232
c.w,270,12,3,1,31,42.2,204.9125989,223.6014312,1.818327053,32.86605363,311.9808929,1.627740025,8.567125683,21.18046431
c.w,265,13,1,1,11,42.4,171.9214937,164.6172845,2.724770431,27.51754027,231.9690615,2.720321082,5.846702236,16.31244787
c.w,265,13,2,1,21,41.9,180.2663712,166.4230118,3.642553814,31.22170619,197.8743988,4.058243761,5.757462083,17.03643582
c.w,270,13,3,1,31,43.3,215.3919056,208.8593257,1.760633097,31.13024106,349.603336,1.632291588,8.000793785,20.33247805
c.w,265,14,1,1,11,43.7,173.2264021,166.3535714,2.477552259,23.509379,300.7912641,2.251575631,5.05641773,14.71748299
c.w,265,14,2,1,21,39.8,161.2562773,161.6229837,2.947739533,34.21650428,174.1160314,3.073029547,7.496293903,19.03319258
c.w,270,14,3,1,31,35.1,107.6389892,166.0613136,1.051373714,37.3873291,134.7007243,1.185121711,9.915080663,20.25693887
c.w,265,15,1,1,11,44.6,160.9140909,152.3294682,2.24481154,20.77685028,292.5758037,2.302694612,4.052816248,12.4414229
c.w,265,15,2,1,21,42,192.2644327,173.6851812,2.949428158,30.80222182,264.1131781,2.567760951,6.979591638,18.91222638
c.w,270,15,3,1,31,35.3,123.1949799,180.5684797,2.506479506,40.18654565,146.6727468,2.378886077,9.757956411,21.42185579
c.w,269,16,2,1,21,40.5,145.6886344,164.8021583,2.730826882,27.05275149,195.2539583,2.324296391,6.056164035,16.09212453
c.w,263,16,3,1,31,29.6,134.7533402,157.5715868,1.461393005,77.2069782,126.7750112,0.684260954,18.98638049,24.89798985
c.w,270,17,2,1,21,42.9,153.9657191,164.3717654,3.355478684,24.40924212,234.5721217,3.742791785,3.880488831,12.90887089
c.w,270,18,2,1,21,35.9,125.6890074,135.4880158,2.549043972,38.82801069,112.6440123,2.561111376,9.245397366,18.19775036
c.w,270,19,2,1,21,36.2,118.7118361,143.5750302,2.621670539,35.78456981,121.2700154,2.656472491,8.221845822,18.76664884
w.c,263,1,2,1,121,35.2,151.1713868,207.0399626,2.7703129,49.97349649,168.0460243,2.356405896,12.48283478,26.80726149
w.c,263,1,3,1,131,34.9,182.8801534,237.5085262,2.887488466,57.72953507,189.9253493,1.899456551,15.95317494,30.81185464
w.c,263,1,5,1,151,35.1,144.2632406,134.784846,3.201813799,42.93114619,106.3953678,2.940770812,11.45177169,17.80318438
w.c,263,2,2,1,121,32.1,126.5712081,177.6634464,3.726096792,59.84111329,143.5569066,3.992745149,13.07371143,24.39512922
w.c,263,2,3,3,133,33,171.8241653,167.1966718,3.296615356,71.26672285,133.4882609,3.444492992,16.28606695,23.03922035
w.c,263,2,5,1,151,32.5,110.0724262,140.5659677,4.45355317,47.99707414,110.9601188,4.360854922,9.56329028,18.31983808
w.c,263,3,2,1,121,30.4,184.1034693,196.9972928,8.487401987,102.9901202,163.7443805,8.757593099,15.68900193,22.95239303
w.c,263,3,3,1,131,32.5,181.026615,195.8961194,6.198546051,79.06974146,155.647179,6.196054587,16.35651069,24.06368862
w.c,264,3,5,1,151,29.8,81.27823319,122.5342584,2.224064037,48.48408366,99.97313266,2.070707528,10.7665981,18.7587658
w.c,264,4,2,1,121,27.9,89.86850618,135.7885334,1.854580691,67.08083435,119.8752452,1.908685022,14.93133071,21.83704723
w.c,264,4,3,1,131,28,89.73837673,154.4248758,2.374809191,64.84091626,133.5491359,2.209335152,14.20072237,24.10167004
w.c,264,5,2,1,121,29.8,131.948809,155.0332742,1.588666471,76.00820051,129.0193053,1.558822703,18.44747374,24.31908806
w.c,264,5,3,1,131,36.6,256.6547265,215.697666,4.055333017,74.84456438,184.4833037,4.234424784,17.33791943,26.33635053
w.c,265,5,5,1,151,35,153.2065716,201.2233571,2.774671456,50.33444813,161.3880464,2.474710806,12.94060835,26.79304019
w.c,264,6,2,1,121,31,122.9191593,171.990362,2.558644024,62.63426743,137.8963325,2.377499076,15.28278014,25.27282884
w.c,268,6,3,1,131,35.7,216.8996565,243.9555717,3.169200244,66.90120308,201.3583426,2.942630667,17.56969989,30.71530769
w.c,265,6,5,1,151,35.2,117.768589,152.512491,1.947531465,37.74304249,123.4766433,1.503665999,9.873765876,20.98272473
w.c,264,7,2,1,121,32.8,138.045025,186.712747,2.348123379,58.23954367,146.9041709,2.161888613,14.77511355,26.58690882
w.c,268,7,5,1,151,35.9,137.9686176,179.2487722,2.59185338,39.75455845,153.0512252,1.983826903,10.39525195,22.96504436
w.c,264,8,2,1,121,34.6,152.0975658,207.7357666,2.62657842,53.28455798,166.8603998,2.308112866,13.46047963,27.82694523
w.c,268,8,3,1,131,39.4,309.6894445,257.5878198,5.541069365,68.09362451,264.1690763,5.750725021,15.27778565,27.17938291
w.c,268,8,5,1,151,41.1,210.0380864,171.0142519,2.7738028,37.14430339,206.4032784,2.790265344,9.196827336,20.09510184
w.c,265,9,2,1,121,34.7,151.1037708,197.7584554,2.034845625,52.99151803,159.1968869,2.014303927,13.83546707,27.28804483
w.c,269,9,3,1,131,41.7,264.2889508,241.495108,3.675289828,46.72096969,324.40456,3.857343539,10.50179749,25.98039607
w.c,268,9,5,1,151,40.8,189.5646346,166.7941201,2.644895731,35.74067558,205.5166409,2.515582106,8.453232174,19.85853768
w.c,265,10,2,1,121,36,165.1854472,209.0039215,2.15116472,51.33037317,174.571267,2.188847123,13.33468348,27.73770442
w.c,269,10,3,1,131,42.7,272.2799132,233.5433762,4.098174226,41.70288184,347.8155708,4.058527297,8.970514337,24.09177665
w.c,268,10,5,1,151,41.6,196.0557319,166.9803514,3.011644146,32.89840419,224.8920242,2.665647143,7.570736194,19.09156274
w.c,265,11,2,1,121,37.4,187.5426331,218.1988074,2.075498356,50.14772936,193.9575161,2.174069453,13.24222506,28.00462551
w.c,269,11,3,1,131,42,231.024041,222.4301887,2.793950358,39.47046945,288.8653187,3.03473046,9.145065099,23.51088883
w.c,268,11,5,1,151,41.3,174.3891575,160.606022,2.327632319,31.68874158,191.2156022,2.452535828,7.372981644,18.70325312
w.c,268,12,2,1,121,36.7,188.5265737,236.7929004,1.550913964,53.37389555,203.8625947,1.49614012,14.88062484,30.79330666
w.c,269,12,3,1,131,42,243.13119,221.1873608,2.601295686,40.04681817,298.5679341,2.533578268,10.01231546,24.82269215
w.c,269,12,5,1,151,44.9,169.8645151,127.5879416,1.395410859,20.12752711,253.6795721,1.151002596,5.085853022,13.78013996
w.c,268,13,2,1,121,37.6,196.025841,237.1452991,1.489090771,50.91464349,212.4371304,1.512945071,14.29711098,30.24555098
w.c,269,13,5,1,151,44.6,179.757774,114.3035306,2.414289897,22.65594181,229.7330735,2.185984271,4.663532554,12.25087101
w.c,268,14,2,1,121,38.7,213.3438306,255.5128471,2.418009788,49.27135725,251.2098558,2.337598953,13.03627284,29.50304751
w.c,268,15,2,1,121,40.1,219.9842757,258.458122,1.814591985,44.26966752,282.0187313,1.776748174,12.0734441,27.66708782
w.c,268,16,2,1,121,40.8,227.4082723,252.0341849,1.49313213,42.16963134,295.6196468,1.453830283,11.78589545,27.11131569
w.c,269,17,2,1,121,41.1,228.2683873,282.2518277,2.15630929,40.90238866,347.4533406,2.088511752,10.83786279,25.98501731
w.c,269,18,2,1,121,42.3,230.1921759,258.8622571,2.112392084,37.48986017,342.6019721,2.367134852,9.508317516,23.64111832
w.c,269,19,2,1,121,43.3,228.1687552,249.1562553,1.688788479,32.62835931,398.6255299,1.517903483,8.669836042,21.75263142
w.c,269,20,2,1,121,44,222.2147161,233.6080731,1.759492357,30.02025475,406.0209378,1.716639978,7.537393879,19.62729125
w.c,269,21,2,1,121,44.4,215.6492228,221.1818266,1.735419052,28.00441672,401.7374187,1.738869968,6.92406965,18.35245955
w.w,243,1,1,1,111,41.6,198.1914355,277.540472,1.820318348,34.97827999,365.2717538,2.047384005,8.873778961,21.58283906
w.w,243,1,2,1,121,38.1,217.1776784,209.2649431,2.467289181,53.98261973,192.8161019,2.635976936,14.16200608,26.33214999
w.w,243,1,3,1,131,39.4,250.1746855,259.3657236,4.522665238,57.03190629,275.3930235,5.139246753,12.37445447,28.34702422
w.w,247,1,5,1,151,28.3,72.90392643,104.7631447,2.465512861,52.88614472,89.74179283,2.358352634,10.71215359,16.11153791
w.w,243,2,1,1,111,38.7,213.7019728,265.3068881,2.000941472,48.15470228,258.6667841,1.616502484,13.3863757,29.85626483
w.w,243,2,2,1,121,41.5,227.8939982,243.6598899,2.839697253,40.30771242,305.5346437,2.954293605,9.537001096,24.19582262
w.w,243,2,3,1,131,40.1,213.0351385,219.2322132,2.190532983,42.54590804,235.9230024,2.00614966,11.15066248,26.00876297
w.w,247,2,5,1,151,30.3,86.31002115,116.5114464,2.106830948,53.35082703,96.09734514,2.451684456,11.16488802,17.79939694
w.w,247,3,2,1,121,28,96.20774352,128.2920334,1.792289146,66.16806381,111.8957738,1.545086303,15.81281357,20.67518796
w.w,247,3,3,1,131,28.2,92.12335357,135.6547353,3.151209411,65.07687511,116.7995571,3.025138301,13.58173316,20.40426028
w.w,248,3,5,1,151,34.8,132.0958507,165.6141719,1.266297226,46.84206608,134.5908126,1.257003813,12.48788695,23.98291576
w.w,247,4,2,1,121,29.7,109.6810827,142.4387382,1.379057903,62.22616389,117.5729546,1.049097736,16.3136284,22.71539647
w.w,247,4,3,1,131,30.4,107.3091397,137.2047661,1.631044069,65.05298818,114.1908199,2.140652459,14.75650997,21.43694177
w.w,248,4,5,1,151,38.3,175.8066642,195.6843701,1.235408492,42.88160423,185.2933436,1.207482652,12.00462184,25.71302531
w.w,248,5,2,1,121,32.2,132.4926194,183.6768077,1.323423718,60.58749927,146.0983663,1.308436127,16.09985263,27.54100611
w.w,248,5,3,1,131,33.1,122.8863887,196.9871056,1.39620443,51.30032824,155.2226957,1.252586509,13.56904996,26.69176471
w.w,248,5,5,1,151,41.9,221.0362708,216.2746252,1.204304618,36.64983567,297.0032921,1.012568586,10.36215435,24.22897089
w.w,248,6,2,1,121,35.4,172.421379,217.5285506,1.022202764,56.51627903,178.3272182,1.018387333,15.9904328,30.22195385
w.w,248,6,3,1,131,38.1,221.8521507,236.871095,1.942716857,52.42788231,224.9381805,1.466779967,15.08371798,29.71730715
w.w,249,6,5,1,151,35.5,138.9506582,164.4245119,0.954241115,44.99847109,134.7871833,1.096848438,12.62612078,23.83577829
w.w,248,7,2,1,121,36.3,168.4063759,231.9254692,1.180598336,51.92604375,198.3730288,1.141564204,14.17285701,29.24591779
w.w,248,7,3,1,131,40.7,239.3715928,216.3856748,1.470057943,43.92906379,258.9986559,1.36146221,12.77513182,26.50086295
w.w,249,7,5,1,151,37.6,161.8770684,189.9919847,1.330397868,40.42224704,176.600165,0.736109332,11.67139501,24.97762996
w.w,248,8,2,1,121,40.1,230.2153037,263.571571,0.8372708,45.21165006,280.5937094,0.765371647,13.65411309,29.92706191
w.w,249,8,3,1,131,35.8,158.3459892,218.1831953,2.54261319,49.57589673,180.1272374,2.652041585,12.48967328,27.01561474
w.w,251,8,5,1,151,29.2,91.21989961,126.6297959,2.309599553,56.69925151,104.3862712,1.917752612,13.08453061,19.53818072
w.w,249,9,2,1,121,35.1,169.0213601,221.8244661,1.525390264,56.67109577,179.6877229,1.414896823,15.60636788,30.34604735
w.w,249,9,3,1,131,37.3,184.3323683,202.32517,2.102652725,48.33204623,181.3439215,1.822062611,13.0776699,26.34184898
w.w,251,9,5,1,151,41.5,193.5212339,211.5758063,1.671893547,32.39035604,288.2104892,1.044253033,8.913122663,21.42544391
w.w,249,10,2,1,121,35.2,159.1706755,215.4755234,0.761522697,53.11198103,175.3720845,0.676408177,15.24482271,30.11884906
w.w,251,10,3,1,131,40.1,223.8348667,242.5186842,1.799713704,43.21276305,286.1459953,1.15189616,12.27406775,28.0449169
w.w,251,10,5,1,151,43.8,198.665095,201.3964183,1.732449239,27.61064352,334.2494585,1.626702897,6.783053959,17.76077323
w.w,251,11,2,1,121,35.6,175.226148,258.3236111,2.559588763,54.53635824,217.5155471,1.656245362,14.38782086,30.66022495
w.w,251,11,3,1,131,43.4,206.4457003,197.1028967,1.795481773,29.94648881,304.0066602,1.622677416,7.407088311,19.10182092
w.w,251,11,5,1,151,44.6,198.7978788,201.06418,1.772821856,26.40001764,372.8499937,1.835753189,6.075488046,16.49724866
w.w,251,12,2,1,121,41.7,240.667708,273.8136694,1.104926007,41.02565366,357.4768483,1.00929298,11.80662876,27.17135561
w.w,251,12,3,1,131,44.4,286.9638164,230.9167345,5.605023469,36.54750187,385.0851344,5.727637561,5.89908318,20.90548898
w.w,254,12,5,1,151,38.9,157.9199495,189.7871024,1.419762258,35.94458957,206.7785364,0.98957785,9.803924967,21.8905886
w.w,251,13,2,1,121,43.1,222.1503499,259.8579807,0.50904065,33.61935288,405.3862283,0.74867042,9.767667453,22.6622025
w.w,254,13,3,1,131,39.8,227.6026609,205.6396466,3.195422761,47.10503594,215.5671693,3.171516464,11.61031879,24.22106861
w.w,251,14,2,1,121,43.7,261.4306924,270.1685173,2.46316536,36.38761357,421.3278725,2.255920884,8.867469748,23.41295979
w.w,256,14,3,1,131,34,169.53239,198.4657847,3.823219845,64.73687518,158.4788447,3.925275238,15.1948372,26.02103514
w.w,251,15,2,1,121,43.6,247.697571,252.4705079,1.977653875,34.8501897,403.9249407,1.883496349,8.904874937,22.80743106
w.w,254,16,2,1,121,37,190.983355,215.8562272,0.974555556,53.31081277,189.8181381,1.009865806,15.22333148,29.14650297
w.w,256,17,2,1,121,33.4,149.77555,168.935422,1.443070201,60.89646292,133.9803874,1.447618037,16.23127531,24.92104105
